Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,549,505,44,1098,142,439,17,10,0.919854,0.784522,0.399818,0.846815,,,1.86096256684492,3.2334630350194553
INDEL,PASS,549,505,44,1098,142,439,17,10,0.919854,0.784522,0.399818,0.846815,,,1.86096256684492,3.2334630350194553
SNP,ALL,21973,21638,335,27479,712,5135,60,70,0.984754,0.968135,0.18687,0.976374,3.007110300820419,2.7287032013022245,1.5918102430965306,1.9283505704232862
SNP,PASS,21973,21638,335,27479,712,5135,60,70,0.984754,0.968135,0.18687,0.976374,3.007110300820419,2.7287032013022245,1.5918102430965306,1.9283505704232862
