Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,399,342,57,759,94,309,13,13,0.857143,0.791111,0.407115,0.822804,,,1.8345323741007193,3.3085714285714287
INDEL,PASS,399,342,57,759,94,309,13,13,0.857143,0.791111,0.407115,0.822804,,,1.8345323741007193,3.3085714285714287
SNP,ALL,20853,20141,712,23926,690,3111,51,65,0.965856,0.966851,0.130026,0.966353,3.0348095146006577,2.846586345381526,1.6357197065519857,1.8668585822238215
SNP,PASS,20853,20141,712,23926,690,3111,51,65,0.965856,0.966851,0.130026,0.966353,3.0348095146006577,2.846586345381526,1.6357197065519857,1.8668585822238215
