Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,1636,1403,233,2871,384,1056,66,43,0.857579,0.78843,0.367816,0.821552,,,1.3372262773722627,2.2658227848101267
INDEL,PASS,1636,1403,233,2871,384,1056,66,43,0.857579,0.78843,0.367816,0.821552,,,1.3372262773722627,2.2658227848101267
SNP,ALL,30715,29473,1242,35433,1100,4867,140,94,0.959564,0.964012,0.137358,0.961783,2.7625229638701776,2.6293262338726193,1.3685875183213763,1.5447294675576633
SNP,PASS,30715,29473,1242,35433,1100,4867,140,94,0.959564,0.964012,0.137358,0.961783,2.7625229638701776,2.6293262338726193,1.3685875183213763,1.5447294675576633
