Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,357,322,35,763,70,350,8,4,0.901961,0.830508,0.458716,0.864761,,,1.646153846153846,2.6153846153846154
INDEL,PASS,357,322,35,763,70,350,8,4,0.901961,0.830508,0.458716,0.864761,,,1.646153846153846,2.6153846153846154
SNP,ALL,20422,19749,673,23706,615,3363,59,75,0.967045,0.969768,0.141863,0.968405,3.05559968228753,2.8759398496240602,1.2783482142857143,1.4993142736575589
SNP,PASS,20422,19749,673,23706,615,3363,59,75,0.967045,0.969768,0.141863,0.968405,3.05559968228753,2.8759398496240602,1.2783482142857143,1.4993142736575589
