Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,1626,1395,231,3480,617,1431,97,60,0.857934,0.698878,0.411207,0.77028,,,1.4422187981510015,2.990632318501171
INDEL,PASS,1626,1395,231,3480,617,1431,97,60,0.857934,0.698878,0.411207,0.77028,,,1.4422187981510015,2.990632318501171
SNP,ALL,30492,29338,1154,35763,904,5540,138,77,0.962154,0.970089,0.154909,0.966105,2.770676226974904,2.609037724430099,1.3774570982839314,1.5438434163701067
SNP,PASS,30492,29338,1154,35763,904,5540,138,77,0.962154,0.970089,0.154909,0.966105,2.770676226974904,2.609037724430099,1.3774570982839314,1.5438434163701067
