Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,1626,1410,216,3592,632,1514,100,59,0.867159,0.695861,0.421492,0.772123,,,1.4422187981510015,3.0765661252900234
INDEL,PASS,1626,1410,216,3592,632,1514,100,59,0.867159,0.695861,0.421492,0.772123,,,1.4422187981510015,3.0765661252900234
SNP,ALL,30492,29500,992,36078,954,5643,119,80,0.967467,0.968655,0.156411,0.96806,2.770676226974904,2.595477637214862,1.3774570982839314,1.5640733892760632
SNP,PASS,30492,29500,992,36078,954,5643,119,80,0.967467,0.968655,0.156411,0.96806,2.770676226974904,2.595477637214862,1.3774570982839314,1.5640733892760632
