Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,508,467,41,1080,133,463,17,9,0.919291,0.784441,0.428704,0.846529,,,1.5670103092783505,2.7907801418439715
INDEL,PASS,508,467,41,1080,133,463,17,9,0.919291,0.784441,0.428704,0.846529,,,1.5670103092783505,2.7907801418439715
SNP,ALL,22507,22128,379,27510,767,4630,53,72,0.983161,0.966477,0.168302,0.974748,2.966519823788546,2.72670639219935,1.3966766084363016,1.6831576893052302
SNP,PASS,22507,22128,379,27510,767,4630,53,72,0.983161,0.966477,0.168302,0.974748,2.966519823788546,2.72670639219935,1.3966766084363016,1.6831576893052302
