Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,508,467,41,1064,127,459,19,8,0.919291,0.790083,0.431391,0.849804,,,1.5670103092783505,2.640138408304498
INDEL,PASS,508,467,41,1064,127,459,19,8,0.919291,0.790083,0.431391,0.849804,,,1.5670103092783505,2.640138408304498
SNP,ALL,22507,22000,507,27309,776,4541,74,61,0.977474,0.965917,0.166282,0.971661,2.966519823788546,2.73860681538251,1.3966766084363016,1.6749313994511956
SNP,PASS,22507,22000,507,27309,776,4541,74,61,0.977474,0.965917,0.166282,0.971661,2.966519823788546,2.73860681538251,1.3966766084363016,1.6749313994511956
