Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,376,322,54,717,81,310,13,5,0.856383,0.800983,0.432357,0.827757,,,1.781954887218045,2.767195767195767
INDEL,PASS,376,322,54,717,81,310,13,5,0.856383,0.800983,0.432357,0.827757,,,1.781954887218045,2.767195767195767
SNP,ALL,20162,19377,785,23596,612,3607,74,67,0.961065,0.969383,0.152865,0.965206,3.0875557357113905,2.895692358474996,1.5809426229508197,1.787613757239097
SNP,PASS,20162,19377,785,23596,612,3607,74,67,0.961065,0.969383,0.152865,0.965206,3.0875557357113905,2.895692358474996,1.5809426229508197,1.787613757239097
