Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,389,347,42,782,90,328,8,14,0.892031,0.801762,0.419437,0.844491,,,1.7777777777777777,3.015463917525773
INDEL,PASS,389,347,42,782,90,328,8,14,0.892031,0.801762,0.419437,0.844491,,,1.7777777777777777,3.015463917525773
SNP,ALL,20682,19842,840,23866,642,3391,51,93,0.959385,0.968645,0.142085,0.963993,3.037268292682927,2.8347518869439536,1.6766381766381766,1.879724670933462
SNP,PASS,20682,19842,840,23866,642,3391,51,93,0.959385,0.968645,0.142085,0.963993,3.037268292682927,2.8347518869439536,1.6766381766381766,1.879724670933462
