Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,1907,1666,241,3505,642,1153,126,74,0.873623,0.727041,0.328959,0.79362,,,1.4675675675675677,3.038732394366197
INDEL,PASS,1907,1666,241,3505,642,1153,126,74,0.873623,0.727041,0.328959,0.79362,,,1.4675675675675677,3.038732394366197
SNP,ALL,30891,29832,1059,36087,1135,5123,127,126,0.965718,0.963345,0.141962,0.96453,2.7400145243282497,2.5755744849445326,1.6764323480974257,1.8540908371577782
SNP,PASS,30891,29832,1059,36087,1135,5123,127,126,0.965718,0.963345,0.141962,0.96453,2.7400145243282497,2.5755744849445326,1.6764323480974257,1.8540908371577782
