Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,prefix,patient,capture,sequencer,depth
SNP,ALL,20162,19431,731,23788,669,3694,67,70,0.963744,0.966706,0.155288,0.965223,3.0875557357113905,2.8774645592308947,1.5809426229508197,1.8148455072806913,HG001_novaseq_idt_100x.haplotypecaller,HG001,idt,novaseq,100
SNP,PASS,20162,19431,731,23788,669,3694,67,70,0.963744,0.966706,0.155288,0.965223,3.0875557357113905,2.8774645592308947,1.5809426229508197,1.8148455072806913,HG001_novaseq_idt_100x.haplotypecaller,HG001,idt,novaseq,100
INDEL,ALL,376,322,54,717,81,310,13,5,0.856383,0.800983,0.432357,0.827757,,,1.781954887218045,2.767195767195767,HG001_novaseq_idt_50x.haplotypecaller,HG001,idt,novaseq,50
INDEL,PASS,376,322,54,717,81,310,13,5,0.856383,0.800983,0.432357,0.827757,,,1.781954887218045,2.767195767195767,HG001_novaseq_idt_50x.haplotypecaller,HG001,idt,novaseq,50
SNP,ALL,20162,19377,785,23596,612,3607,74,67,0.961065,0.969383,0.152865,0.965206,3.0875557357113905,2.895692358474996,1.5809426229508197,1.787613757239097,HG001_novaseq_idt_50x.haplotypecaller,HG001,idt,novaseq,50
SNP,PASS,20162,19377,785,23596,612,3607,74,67,0.961065,0.969383,0.152865,0.965206,3.0875557357113905,2.895692358474996,1.5809426229508197,1.787613757239097,HG001_novaseq_idt_50x.haplotypecaller,HG001,idt,novaseq,50
INDEL,ALL,376,323,53,701,68,302,11,5,0.859043,0.829574,0.430813,0.844051,,,1.781954887218045,2.6914893617021276,HG001_novaseq_idt_75x.haplotypecaller,HG001,idt,novaseq,75
INDEL,PASS,376,323,53,701,68,302,11,5,0.859043,0.829574,0.430813,0.844051,,,1.781954887218045,2.6914893617021276,HG001_novaseq_idt_75x.haplotypecaller,HG001,idt,novaseq,75
SNP,ALL,20162,19415,747,23740,656,3675,75,69,0.96295,0.967306,0.154802,0.965123,3.0875557357113905,2.8842001962708537,1.5809426229508197,1.8058413148870758,HG001_novaseq_idt_75x.haplotypecaller,HG001,idt,novaseq,75
SNP,PASS,20162,19415,747,23740,656,3675,75,69,0.96295,0.967306,0.154802,0.965123,3.0875557357113905,2.8842001962708537,1.5809426229508197,1.8058413148870758,HG001_novaseq_idt_75x.haplotypecaller,HG001,idt,novaseq,75
