Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,prefix,patient,capture,sequencer,depth
INDEL,PASS,382,336,46,733,71,312,11,14,0.879581,0.831354,0.425648,0.854788,,,1.7028985507246377,2.867021276595745,HG003_novaseq_idt_100x.haplotypecaller,HG003,idt,novaseq,100
SNP,ALL,20698,19992,706,23886,694,3208,33,105,0.96589,0.966438,0.134305,0.966164,3.0735930735930737,2.873075052682769,1.6089040232059528,1.8593843574080728,HG003_novaseq_idt_100x.haplotypecaller,HG003,idt,novaseq,100
SNP,PASS,20698,19992,706,23886,694,3208,33,105,0.96589,0.966438,0.134305,0.966164,3.0735930735930737,2.873075052682769,1.6089040232059528,1.8593843574080728,HG003_novaseq_idt_100x.haplotypecaller,HG003,idt,novaseq,100
INDEL,ALL,382,330,52,741,84,313,13,15,0.863874,0.803738,0.422402,0.832722,,,1.7028985507246377,2.888888888888889,HG003_novaseq_idt_50x.haplotypecaller,HG003,idt,novaseq,50
INDEL,PASS,382,330,52,741,84,313,13,15,0.863874,0.803738,0.422402,0.832722,,,1.7028985507246377,2.888888888888889,HG003_novaseq_idt_50x.haplotypecaller,HG003,idt,novaseq,50
SNP,ALL,20698,19957,741,23786,689,3148,32,107,0.964199,0.966615,0.132347,0.965406,3.0735930735930737,2.8771386671011894,1.6089040232059528,1.8605462639874866,HG003_novaseq_idt_50x.haplotypecaller,HG003,idt,novaseq,50
SNP,PASS,20698,19957,741,23786,689,3148,32,107,0.964199,0.966615,0.132347,0.965406,3.0735930735930737,2.8771386671011894,1.6089040232059528,1.8605462639874866,HG003_novaseq_idt_50x.haplotypecaller,HG003,idt,novaseq,50
INDEL,ALL,382,333,49,745,86,312,13,12,0.871728,0.801386,0.418792,0.835078,,,1.7028985507246377,2.9731182795698925,HG003_novaseq_idt_75x.haplotypecaller,HG003,idt,novaseq,75
INDEL,PASS,382,333,49,745,86,312,13,12,0.871728,0.801386,0.418792,0.835078,,,1.7028985507246377,2.9731182795698925,HG003_novaseq_idt_75x.haplotypecaller,HG003,idt,novaseq,75
SNP,ALL,20698,19983,715,23888,692,3221,35,101,0.965456,0.966517,0.134838,0.965986,3.0735930735930737,2.866504854368932,1.6089040232059528,1.8650107991360692,HG003_novaseq_idt_75x.haplotypecaller,HG003,idt,novaseq,75
SNP,PASS,20698,19983,715,23888,692,3221,35,101,0.965456,0.966517,0.134838,0.965986,3.0735930735930737,2.866504854368932,1.6089040232059528,1.8650107991360692,HG003_novaseq_idt_75x.haplotypecaller,HG003,idt,novaseq,75
INDEL,ALL,1843,1605,238,3421,617,1165,123,63,0.870863,0.726507,0.340544,0.792162,,,1.5332390381895333,3.18407960199005,HG003_novaseq_truseq_50x.haplotypecaller,HG003,truseq,novaseq,50
INDEL,PASS,1843,1605,238,3421,617,1165,123,63,0.870863,0.726507,0.340544,0.792162,,,1.5332390381895333,3.18407960199005,HG003_novaseq_truseq_50x.haplotypecaller,HG003,truseq,novaseq,50
SNP,ALL,30921,29853,1068,36002,1269,4886,110,115,0.96546,0.959217,0.135715,0.962329,2.774225042714181,2.5818579669783173,1.5834656858647496,1.802149030600327,HG003_novaseq_truseq_50x.haplotypecaller,HG003,truseq,novaseq,50
SNP,PASS,30921,29853,1068,36002,1269,4886,110,115,0.96546,0.959217,0.135715,0.962329,2.774225042714181,2.5818579669783173,1.5834656858647496,1.802149030600327,HG003_novaseq_truseq_50x.haplotypecaller,HG003,truseq,novaseq,50
INDEL,ALL,1843,1606,237,3450,609,1199,127,61,0.871405,0.729454,0.347536,0.794136,,,1.5332390381895333,3.1967821782178216,HG003_novaseq_truseq_75x.haplotypecaller,HG003,truseq,novaseq,75
INDEL,PASS,1843,1606,237,3450,609,1199,127,61,0.871405,0.729454,0.347536,0.794136,,,1.5332390381895333,3.1967821782178216,HG003_novaseq_truseq_75x.haplotypecaller,HG003,truseq,novaseq,75
SNP,ALL,30921,29944,977,36081,1275,4871,100,124,0.968403,0.959148,0.135002,0.963753,2.774225042714181,2.582845229822297,1.5834656858647496,1.8059747938384938,HG003_novaseq_truseq_75x.haplotypecaller,HG003,truseq,novaseq,75
SNP,PASS,30921,29944,977,36081,1275,4871,100,124,0.968403,0.959148,0.135002,0.963753,2.774225042714181,2.582845229822297,1.5834656858647496,1.8059747938384938,HG003_novaseq_truseq_75x.haplotypecaller,HG003,truseq,novaseq,75
INDEL,ALL,528,470,58,848,62,299,9,6,0.890152,0.887067,0.352594,0.888607,,,1.586734693877551,2.326771653543307,HG004_hiseq4000_agilent_50x.haplotypecaller,HG004,agilent,hiseq4000,50
INDEL,PASS,528,470,58,848,62,299,9,6,0.890152,0.887067,0.352594,0.888607,,,1.586734693877551,2.326771653543307,HG004_hiseq4000_agilent_50x.haplotypecaller,HG004,agilent,hiseq4000,50
SNP,ALL,22475,21680,795,26043,684,3688,77,88,0.964627,0.969403,0.141612,0.967009,2.9480245829675154,2.7654285301344124,1.6801097721035676,1.8505092541890265,HG004_hiseq4000_agilent_50x.haplotypecaller,HG004,agilent,hiseq4000,50
SNP,PASS,22475,21680,795,26043,684,3688,77,88,0.964627,0.969403,0.141612,0.967009,2.9480245829675154,2.7654285301344124,1.6801097721035676,1.8505092541890265,HG004_hiseq4000_agilent_50x.haplotypecaller,HG004,agilent,hiseq4000,50
INDEL,ALL,389,350,39,697,69,264,6,6,0.899743,0.840647,0.378766,0.869191,,,1.7777777777777777,2.861111111111111,HG004_hiseq4000_idt_50x.haplotypecaller,HG004,idt,hiseq4000,50
INDEL,PASS,389,350,39,697,69,264,6,6,0.899743,0.840647,0.378766,0.869191,,,1.7777777777777777,2.861111111111111,HG004_hiseq4000_idt_50x.haplotypecaller,HG004,idt,hiseq4000,50
SNP,ALL,20682,19703,979,23339,623,3019,57,80,0.952664,0.969341,0.129354,0.96093,3.037268292682927,2.8670089433587282,1.6766381766381766,1.849480757483201,HG004_hiseq4000_idt_50x.haplotypecaller,HG004,idt,hiseq4000,50
SNP,PASS,20682,19703,979,23339,623,3019,57,80,0.952664,0.969341,0.129354,0.96093,3.037268292682927,2.8670089433587282,1.6766381766381766,1.849480757483201,HG004_hiseq4000_idt_50x.haplotypecaller,HG004,idt,hiseq4000,50
INDEL,ALL,1907,1552,355,2879,470,823,100,61,0.813844,0.771401,0.285863,0.792054,,,1.4675675675675677,2.4002389486260456,HG004_hiseq4000_truseq_50x.haplotypecaller,HG004,truseq,hiseq4000,50
INDEL,PASS,1907,1552,355,2879,470,823,100,61,0.813844,0.771401,0.285863,0.792054,,,1.4675675675675677,2.4002389486260456,HG004_hiseq4000_truseq_50x.haplotypecaller,HG004,truseq,hiseq4000,50
SNP,ALL,30891,29561,1330,35730,1173,5002,142,121,0.956945,0.961826,0.139994,0.95938,2.7400145243282497,2.600685000503677,1.6764323480974257,1.8399872753300461,HG004_hiseq4000_truseq_50x.haplotypecaller,HG004,truseq,hiseq4000,50
SNP,PASS,30891,29561,1330,35730,1173,5002,142,121,0.956945,0.961826,0.139994,0.95938,2.7400145243282497,2.600685000503677,1.6764323480974257,1.8399872753300461,HG004_hiseq4000_truseq_50x.haplotypecaller,HG004,truseq,hiseq4000,50
INDEL,ALL,528,493,35,1116,144,459,21,25,0.933712,0.780822,0.41129,0.85045,,,1.586734693877551,3.3190661478599224,HG004_novaseq_agilent_100x.haplotypecaller,HG004,agilent,novaseq,100
INDEL,PASS,528,493,35,1116,144,459,21,25,0.933712,0.780822,0.41129,0.85045,,,1.586734693877551,3.3190661478599224,HG004_novaseq_agilent_100x.haplotypecaller,HG004,agilent,novaseq,100
SNP,ALL,22475,22048,427,27657,861,4754,53,116,0.981001,0.962407,0.171891,0.971615,2.9480245829675154,2.6722856384390763,1.6801097721035676,1.981020166073547,HG004_novaseq_agilent_100x.haplotypecaller,HG004,agilent,novaseq,100
SNP,PASS,22475,22048,427,27657,861,4754,53,116,0.981001,0.962407,0.171891,0.971615,2.9480245829675154,2.6722856384390763,1.6801097721035676,1.981020166073547,HG004_novaseq_agilent_100x.haplotypecaller,HG004,agilent,novaseq,100
INDEL,ALL,528,489,39,1085,151,423,18,21,0.926136,0.771903,0.389862,0.842015,,,1.586734693877551,3.2857142857142856,HG004_novaseq_agilent_50x.haplotypecaller,HG004,agilent,novaseq,50
INDEL,PASS,528,489,39,1085,151,423,18,21,0.926136,0.771903,0.389862,0.842015,,,1.586734693877551,3.2857142857142856,HG004_novaseq_agilent_50x.haplotypecaller,HG004,agilent,novaseq,50
SNP,ALL,22475,21992,483,27570,876,4711,65,99,0.978509,0.961678,0.170874,0.970021,2.9480245829675154,2.6674644329211543,1.6801097721035676,1.9853721963376314,HG004_novaseq_agilent_50x.haplotypecaller,HG004,agilent,novaseq,50
SNP,PASS,22475,21992,483,27570,876,4711,65,99,0.978509,0.961678,0.170874,0.970021,2.9480245829675154,2.6674644329211543,1.6801097721035676,1.9853721963376314,HG004_novaseq_agilent_50x.haplotypecaller,HG004,agilent,novaseq,50
INDEL,ALL,528,491,37,1100,134,453,18,21,0.929924,0.79289,0.411818,0.855957,,,1.586734693877551,3.27734375,HG004_novaseq_agilent_75x.haplotypecaller,HG004,agilent,novaseq,75
INDEL,PASS,528,491,37,1100,134,453,18,21,0.929924,0.79289,0.411818,0.855957,,,1.586734693877551,3.27734375,HG004_novaseq_agilent_75x.haplotypecaller,HG004,agilent,novaseq,75
SNP,ALL,22475,22030,445,27587,881,4685,59,104,0.9802,0.961532,0.169826,0.970776,2.9480245829675154,2.670567894666844,1.6801097721035676,1.9882939518751355,HG004_novaseq_agilent_75x.haplotypecaller,HG004,agilent,novaseq,75
SNP,PASS,22475,22030,445,27587,881,4685,59,104,0.9802,0.961532,0.169826,0.970776,2.9480245829675154,2.670567894666844,1.6801097721035676,1.9882939518751355,HG004_novaseq_agilent_75x.haplotypecaller,HG004,agilent,novaseq,75
INDEL,ALL,389,352,37,780,79,332,7,14,0.904884,0.823661,0.425641,0.862364,,,1.7777777777777777,2.9441624365482233,HG004_novaseq_idt_100x.haplotypecaller,HG004,idt,novaseq,100
INDEL,PASS,389,352,37,780,79,332,7,14,0.904884,0.823661,0.425641,0.862364,,,1.7777777777777777,2.9441624365482233,HG004_novaseq_idt_100x.haplotypecaller,HG004,idt,novaseq,100
SNP,ALL,20682,19927,755,24060,648,3494,39,101,0.963495,0.968492,0.14522,0.965987,3.037268292682927,2.826287349014622,1.6766381766381766,1.9008084952334983,HG004_novaseq_idt_100x.haplotypecaller,HG004,idt,novaseq,100
SNP,PASS,20682,19927,755,24060,648,3494,39,101,0.963495,0.968492,0.14522,0.965987,3.037268292682927,2.826287349014622,1.6766381766381766,1.9008084952334983,HG004_novaseq_idt_100x.haplotypecaller,HG004,idt,novaseq,100
INDEL,ALL,389,347,42,782,90,328,8,14,0.892031,0.801762,0.419437,0.844491,,,1.7777777777777777,3.015463917525773,HG004_novaseq_idt_50x.haplotypecaller,HG004,idt,novaseq,50
INDEL,PASS,389,347,42,782,90,328,8,14,0.892031,0.801762,0.419437,0.844491,,,1.7777777777777777,3.015463917525773,HG004_novaseq_idt_50x.haplotypecaller,HG004,idt,novaseq,50
SNP,ALL,20682,19842,840,23866,642,3391,51,93,0.959385,0.968645,0.142085,0.963993,3.037268292682927,2.8347518869439536,1.6766381766381766,1.879724670933462,HG004_novaseq_idt_50x.haplotypecaller,HG004,idt,novaseq,50
SNP,PASS,20682,19842,840,23866,642,3391,51,93,0.959385,0.968645,0.142085,0.963993,3.037268292682927,2.8347518869439536,1.6766381766381766,1.879724670933462,HG004_novaseq_idt_50x.haplotypecaller,HG004,idt,novaseq,50
INDEL,ALL,389,352,37,791,82,340,6,13,0.904884,0.818182,0.429836,0.859352,,,1.7777777777777777,3.020408163265306,HG004_novaseq_idt_75x.haplotypecaller,HG004,idt,novaseq,75
INDEL,PASS,389,352,37,791,82,340,6,13,0.904884,0.818182,0.429836,0.859352,,,1.7777777777777777,3.020408163265306,HG004_novaseq_idt_75x.haplotypecaller,HG004,idt,novaseq,75
SNP,ALL,20682,19893,789,24022,653,3485,36,103,0.961851,0.968204,0.145075,0.965017,3.037268292682927,2.8302788844621514,1.6766381766381766,1.8996134331964243,HG004_novaseq_idt_75x.haplotypecaller,HG004,idt,novaseq,75
SNP,PASS,20682,19893,789,24022,653,3485,36,103,0.961851,0.968204,0.145075,0.965017,3.037268292682927,2.8302788844621514,1.6766381766381766,1.8996134331964243,HG004_novaseq_idt_75x.haplotypecaller,HG004,idt,novaseq,75
INDEL,ALL,1907,1637,270,3431,649,1102,136,79,0.858416,0.72134,0.321189,0.783931,,,1.4675675675675677,2.9858156028368796,HG004_novaseq_truseq_50x.haplotypecaller,HG004,truseq,novaseq,50
INDEL,PASS,1907,1637,270,3431,649,1102,136,79,0.858416,0.72134,0.321189,0.783931,,,1.4675675675675677,2.9858156028368796,HG004_novaseq_truseq_50x.haplotypecaller,HG004,truseq,novaseq,50
SNP,ALL,30891,29685,1206,35926,1145,5100,139,125,0.96096,0.962856,0.141958,0.961907,2.7400145243282497,2.5828930316020338,1.6764323480974257,1.8369943109987357,HG004_novaseq_truseq_50x.haplotypecaller,HG004,truseq,novaseq,50
SNP,PASS,30891,29685,1206,35926,1145,5100,139,125,0.96096,0.962856,0.141958,0.961907,2.7400145243282497,2.5828930316020338,1.6764323480974257,1.8369943109987357,HG004_novaseq_truseq_50x.haplotypecaller,HG004,truseq,novaseq,50
INDEL,ALL,1907,1666,241,3505,642,1153,126,74,0.873623,0.727041,0.328959,0.79362,,,1.4675675675675677,3.038732394366197,HG004_novaseq_truseq_75x.haplotypecaller,HG004,truseq,novaseq,75
INDEL,PASS,1907,1666,241,3505,642,1153,126,74,0.873623,0.727041,0.328959,0.79362,,,1.4675675675675677,3.038732394366197,HG004_novaseq_truseq_75x.haplotypecaller,HG004,truseq,novaseq,75
SNP,ALL,30891,29832,1059,36087,1135,5123,127,126,0.965718,0.963345,0.141962,0.96453,2.7400145243282497,2.5755744849445326,1.6764323480974257,1.8540908371577782,HG004_novaseq_truseq_75x.haplotypecaller,HG004,truseq,novaseq,75
SNP,PASS,30891,29832,1059,36087,1135,5123,127,126,0.965718,0.963345,0.141962,0.96453,2.7400145243282497,2.5755744849445326,1.6764323480974257,1.8540908371577782,HG004_novaseq_truseq_75x.haplotypecaller,HG004,truseq,novaseq,75
INDEL,ALL,508,456,52,839,53,319,10,6,0.897638,0.898077,0.380215,0.897857,,,1.5670103092783505,1.9609929078014185,HG005_hiseq4000_agilent_50x.haplotypecaller,HG005,agilent,hiseq4000,50
INDEL,PASS,508,456,52,839,53,319,10,6,0.897638,0.898077,0.380215,0.897857,,,1.5670103092783505,1.9609929078014185,HG005_hiseq4000_agilent_50x.haplotypecaller,HG005,agilent,hiseq4000,50
SNP,ALL,22507,21707,800,26000,624,3677,77,60,0.964456,0.972047,0.141423,0.968236,2.966519823788546,2.818382029070621,1.3966766084363016,1.58612797293263,HG005_hiseq4000_agilent_50x.haplotypecaller,HG005,agilent,hiseq4000,50
SNP,PASS,22507,21707,800,26000,624,3677,77,60,0.964456,0.972047,0.141423,0.968236,2.966519823788546,2.818382029070621,1.3966766084363016,1.58612797293263,HG005_hiseq4000_agilent_50x.haplotypecaller,HG005,agilent,hiseq4000,50
INDEL,ALL,366,317,49,653,72,249,12,7,0.86612,0.821782,0.381317,0.843369,,,1.4551724137931035,2.295918367346939,HG005_hiseq4000_idt_50x.haplotypecaller,HG005,idt,hiseq4000,50
INDEL,PASS,366,317,49,653,72,249,12,7,0.86612,0.821782,0.381317,0.843369,,,1.4551724137931035,2.295918367346939,HG005_hiseq4000_idt_50x.haplotypecaller,HG005,idt,hiseq4000,50
SNP,ALL,20661,19639,1022,23134,630,2879,74,67,0.950535,0.968897,0.124449,0.959628,3.043044414009,2.925869380831213,1.4033046311380033,1.585840510010066,HG005_hiseq4000_idt_50x.haplotypecaller,HG005,idt,hiseq4000,50
SNP,PASS,20661,19639,1022,23134,630,2879,74,67,0.950535,0.968897,0.124449,0.959628,3.043044414009,2.925869380831213,1.4033046311380033,1.585840510010066,HG005_hiseq4000_idt_50x.haplotypecaller,HG005,idt,hiseq4000,50
INDEL,ALL,1636,1398,238,2880,413,1046,68,49,0.854523,0.774809,0.363194,0.812716,,,1.3372262773722627,2.308139534883721,HG005_hiseq4000_truseq_50x.haplotypecaller,HG005,truseq,hiseq4000,50
INDEL,PASS,1636,1398,238,2880,413,1046,68,49,0.854523,0.774809,0.363194,0.812716,,,1.3372262773722627,2.308139534883721,HG005_hiseq4000_truseq_50x.haplotypecaller,HG005,truseq,hiseq4000,50
SNP,ALL,30715,29307,1408,35420,1167,4954,158,96,0.954159,0.961695,0.139864,0.957912,2.7625229638701776,2.624220108417715,1.3685875183213763,1.5615774240231548,HG005_hiseq4000_truseq_50x.haplotypecaller,HG005,truseq,hiseq4000,50
SNP,PASS,30715,29307,1408,35420,1167,4954,158,96,0.954159,0.961695,0.139864,0.957912,2.7625229638701776,2.624220108417715,1.3685875183213763,1.5615774240231548,HG005_hiseq4000_truseq_50x.haplotypecaller,HG005,truseq,hiseq4000,50
INDEL,ALL,508,474,34,1090,113,489,15,14,0.933071,0.81198,0.448624,0.868324,,,1.5670103092783505,2.765734265734266,HG005_novaseq_agilent_100x.haplotypecaller,HG005,agilent,novaseq,100
INDEL,PASS,508,474,34,1090,113,489,15,14,0.933071,0.81198,0.448624,0.868324,,,1.5670103092783505,2.765734265734266,HG005_novaseq_agilent_100x.haplotypecaller,HG005,agilent,novaseq,100
SNP,ALL,22507,22045,462,27443,797,4612,86,72,0.979473,0.965091,0.168057,0.972229,2.966519823788546,2.742093784078517,1.3966766084363016,1.6883269626580417,HG005_novaseq_agilent_100x.haplotypecaller,HG005,agilent,novaseq,100
SNP,PASS,22507,22045,462,27443,797,4612,86,72,0.979473,0.965091,0.168057,0.972229,2.966519823788546,2.742093784078517,1.3966766084363016,1.6883269626580417,HG005_novaseq_agilent_100x.haplotypecaller,HG005,agilent,novaseq,100
INDEL,ALL,508,467,41,1064,127,459,19,8,0.919291,0.790083,0.431391,0.849804,,,1.5670103092783505,2.640138408304498,HG005_novaseq_agilent_50x.haplotypecaller,HG005,agilent,novaseq,50
INDEL,PASS,508,467,41,1064,127,459,19,8,0.919291,0.790083,0.431391,0.849804,,,1.5670103092783505,2.640138408304498,HG005_novaseq_agilent_50x.haplotypecaller,HG005,agilent,novaseq,50
SNP,ALL,22507,22000,507,27309,776,4541,74,61,0.977474,0.965917,0.166282,0.971661,2.966519823788546,2.73860681538251,1.3966766084363016,1.6749313994511956,HG005_novaseq_agilent_50x.haplotypecaller,HG005,agilent,novaseq,50
SNP,PASS,22507,22000,507,27309,776,4541,74,61,0.977474,0.965917,0.166282,0.971661,2.966519823788546,2.73860681538251,1.3966766084363016,1.6749313994511956,HG005_novaseq_agilent_50x.haplotypecaller,HG005,agilent,novaseq,50
INDEL,ALL,508,470,38,1088,128,476,18,11,0.925197,0.79085,0.4375,0.852764,,,1.5670103092783505,2.802120141342756,HG005_novaseq_agilent_75x.haplotypecaller,HG005,agilent,novaseq,75
INDEL,PASS,508,470,38,1088,128,476,18,11,0.925197,0.79085,0.4375,0.852764,,,1.5670103092783505,2.802120141342756,HG005_novaseq_agilent_75x.haplotypecaller,HG005,agilent,novaseq,75
SNP,ALL,22507,22035,472,27474,805,4645,76,71,0.979029,0.964738,0.169069,0.971831,2.966519823788546,2.73701387000272,1.3966766084363016,1.68751223331376,HG005_novaseq_agilent_75x.haplotypecaller,HG005,agilent,novaseq,75
SNP,PASS,22507,22035,472,27474,805,4645,76,71,0.979029,0.964738,0.169069,0.971831,2.966519823788546,2.73701387000272,1.3966766084363016,1.68751223331376,HG005_novaseq_agilent_75x.haplotypecaller,HG005,agilent,novaseq,75
INDEL,ALL,366,321,45,711,74,300,12,9,0.877049,0.819951,0.421941,0.84754,,,1.4551724137931035,2.515,HG005_novaseq_idt_100x.haplotypecaller,HG005,idt,novaseq,100
INDEL,PASS,366,321,45,711,74,300,12,9,0.877049,0.819951,0.421941,0.84754,,,1.4551724137931035,2.515,HG005_novaseq_idt_100x.haplotypecaller,HG005,idt,novaseq,100
SNP,ALL,20661,19837,824,23758,692,3243,75,62,0.960118,0.966269,0.136501,0.963184,3.043044414009,2.87857026277134,1.4033046311380033,1.6312465373961218,HG005_novaseq_idt_100x.haplotypecaller,HG005,idt,novaseq,100
SNP,PASS,20661,19837,824,23758,692,3243,75,62,0.960118,0.966269,0.136501,0.963184,3.043044414009,2.87857026277134,1.4033046311380033,1.6312465373961218,HG005_novaseq_idt_100x.haplotypecaller,HG005,idt,novaseq,100
INDEL,ALL,366,310,56,709,92,292,18,13,0.846995,0.779376,0.411848,0.81178,,,1.4551724137931035,2.670157068062827,HG005_novaseq_idt_50x.haplotypecaller,HG005,idt,novaseq,50
INDEL,PASS,366,310,56,709,92,292,18,13,0.846995,0.779376,0.411848,0.81178,,,1.4551724137931035,2.670157068062827,HG005_novaseq_idt_50x.haplotypecaller,HG005,idt,novaseq,50
SNP,ALL,20661,19771,890,23574,631,3186,77,63,0.956924,0.96905,0.135149,0.962949,3.043044414009,2.8899703068294293,1.4033046311380033,1.6247075860532472,HG005_novaseq_idt_50x.haplotypecaller,HG005,idt,novaseq,50
SNP,PASS,20661,19771,890,23574,631,3186,77,63,0.956924,0.96905,0.135149,0.962949,3.043044414009,2.8899703068294293,1.4033046311380033,1.6247075860532472,HG005_novaseq_idt_50x.haplotypecaller,HG005,idt,novaseq,50
INDEL,ALL,366,317,49,712,84,296,14,11,0.86612,0.798077,0.41573,0.830708,,,1.4551724137931035,2.5918367346938775,HG005_novaseq_idt_75x.haplotypecaller,HG005,idt,novaseq,75
INDEL,PASS,366,317,49,712,84,296,14,11,0.86612,0.798077,0.41573,0.830708,,,1.4551724137931035,2.5918367346938775,HG005_novaseq_idt_75x.haplotypecaller,HG005,idt,novaseq,75
SNP,ALL,20661,19814,847,23676,688,3188,84,62,0.959005,0.966419,0.134651,0.962698,3.043044414009,2.8843693619813022,1.4033046311380033,1.6337228714524208,HG005_novaseq_idt_75x.haplotypecaller,HG005,idt,novaseq,75
SNP,PASS,20661,19814,847,23676,688,3188,84,62,0.959005,0.966419,0.134651,0.962698,3.043044414009,2.8843693619813022,1.4033046311380033,1.6337228714524208,HG005_novaseq_idt_75x.haplotypecaller,HG005,idt,novaseq,75
INDEL,ALL,1636,1445,191,3394,343,1581,69,39,0.883252,0.810811,0.465822,0.845482,,,1.3372262773722627,2.885780885780886,HG005_novaseq_truseq_50x.haplotypecaller,HG005,truseq,novaseq,50
INDEL,PASS,1636,1445,191,3394,343,1581,69,39,0.883252,0.810811,0.465822,0.845482,,,1.3372262773722627,2.885780885780886,HG005_novaseq_truseq_50x.haplotypecaller,HG005,truseq,novaseq,50
SNP,ALL,30715,29528,1187,35458,1089,4852,149,106,0.961354,0.964419,0.136838,0.962884,2.7625229638701776,2.634966181594589,1.3685875183213763,1.5478073328540618,HG005_novaseq_truseq_50x.haplotypecaller,HG005,truseq,novaseq,50
SNP,PASS,30715,29528,1187,35458,1089,4852,149,106,0.961354,0.964419,0.136838,0.962884,2.7625229638701776,2.634966181594589,1.3685875183213763,1.5478073328540618,HG005_novaseq_truseq_50x.haplotypecaller,HG005,truseq,novaseq,50
INDEL,ALL,1636,1456,180,3446,331,1633,66,45,0.889976,0.81743,0.473883,0.852161,,,1.3372262773722627,2.947429906542056,HG005_novaseq_truseq_75x.haplotypecaller,HG005,truseq,novaseq,75
INDEL,PASS,1636,1456,180,3446,331,1633,66,45,0.889976,0.81743,0.473883,0.852161,,,1.3372262773722627,2.947429906542056,HG005_novaseq_truseq_75x.haplotypecaller,HG005,truseq,novaseq,75
SNP,ALL,30715,29658,1057,35745,1122,4973,145,107,0.965587,0.963538,0.139124,0.964561,2.7625229638701776,2.617400101163379,1.3685875183213763,1.5592807507701125,HG005_novaseq_truseq_75x.haplotypecaller,HG005,truseq,novaseq,75
SNP,PASS,30715,29658,1057,35745,1122,4973,145,107,0.965587,0.963538,0.139124,0.964561,2.7625229638701776,2.617400101163379,1.3685875183213763,1.5592807507701125,HG005_novaseq_truseq_75x.haplotypecaller,HG005,truseq,novaseq,75
INDEL,ALL,493,439,54,919,76,394,10,5,0.890467,0.855238,0.428727,0.872497,,,1.553763440860215,2.0165016501650164,HG006_hiseq4000_agilent_50x.haplotypecaller,HG006,agilent,hiseq4000,50
INDEL,PASS,493,439,54,919,76,394,10,5,0.890467,0.855238,0.428727,0.872497,,,1.553763440860215,2.0165016501650164,HG006_hiseq4000_agilent_50x.haplotypecaller,HG006,agilent,hiseq4000,50
SNP,ALL,22268,21480,788,25734,700,3556,88,90,0.964613,0.968437,0.138183,0.966521,2.971820938113073,2.808967150044392,1.2767720159558147,1.4481774055391643,HG006_hiseq4000_agilent_50x.haplotypecaller,HG006,agilent,hiseq4000,50
SNP,PASS,22268,21480,788,25734,700,3556,88,90,0.964613,0.968437,0.138183,0.966521,2.971820938113073,2.808967150044392,1.2767720159558147,1.4481774055391643,HG006_hiseq4000_agilent_50x.haplotypecaller,HG006,agilent,hiseq4000,50
INDEL,ALL,357,315,42,715,85,296,5,7,0.882353,0.797136,0.413986,0.837583,,,1.646153846153846,2.49009900990099,HG006_hiseq4000_idt_50x.haplotypecaller,HG006,idt,hiseq4000,50
INDEL,PASS,357,315,42,715,85,296,5,7,0.882353,0.797136,0.413986,0.837583,,,1.646153846153846,2.49009900990099,HG006_hiseq4000_idt_50x.haplotypecaller,HG006,idt,hiseq4000,50
SNP,ALL,20422,19424,998,22904,622,2876,76,96,0.951131,0.968943,0.125568,0.959955,3.05559968228753,2.9232876712328766,1.2783482142857143,1.448807103883599,HG006_hiseq4000_idt_50x.haplotypecaller,HG006,idt,hiseq4000,50
SNP,PASS,20422,19424,998,22904,622,2876,76,96,0.951131,0.968943,0.125568,0.959955,3.05559968228753,2.9232876712328766,1.2783482142857143,1.448807103883599,HG006_hiseq4000_idt_50x.haplotypecaller,HG006,idt,hiseq4000,50
INDEL,ALL,1642,1356,286,2824,432,1015,74,37,0.825822,0.761194,0.359419,0.792192,,,1.4009009009009008,2.0735455543358947,HG006_hiseq4000_truseq_50x.haplotypecaller,HG006,truseq,hiseq4000,50
INDEL,PASS,1642,1356,286,2824,432,1015,74,37,0.825822,0.761194,0.359419,0.792192,,,1.4009009009009008,2.0735455543358947,HG006_hiseq4000_truseq_50x.haplotypecaller,HG006,truseq,hiseq4000,50
SNP,ALL,30194,28803,1391,34991,1295,4897,205,114,0.953931,0.956968,0.13995,0.955447,2.8006293266205162,2.634136212624585,1.2762235125556143,1.4454545454545455,HG006_hiseq4000_truseq_50x.haplotypecaller,HG006,truseq,hiseq4000,50
SNP,PASS,30194,28803,1391,34991,1295,4897,205,114,0.953931,0.956968,0.13995,0.955447,2.8006293266205162,2.634136212624585,1.2762235125556143,1.4454545454545455,HG006_hiseq4000_truseq_50x.haplotypecaller,HG006,truseq,hiseq4000,50
INDEL,ALL,493,449,44,997,59,478,10,5,0.910751,0.88632,0.479438,0.898369,,,1.553763440860215,2.1167192429022084,HG006_novaseq_agilent_100x.haplotypecaller,HG006,agilent,novaseq,100
INDEL,PASS,493,449,44,997,59,478,10,5,0.910751,0.88632,0.479438,0.898369,,,1.553763440860215,2.1167192429022084,HG006_novaseq_agilent_100x.haplotypecaller,HG006,agilent,novaseq,100
