Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,528,491,37,1096,132,451,18,18,0.929924,0.795349,0.411496,0.857388,,,1.586734693877551,3.245136186770428
INDEL,PASS,528,491,37,1096,132,451,18,18,0.929924,0.795349,0.411496,0.857388,,,1.586734693877551,3.245136186770428
SNP,ALL,22475,22118,357,27749,862,4778,51,97,0.984116,0.962474,0.172186,0.973175,2.9480245829675154,2.670412480169223,1.6801097721035676,2.0046597312527092
SNP,PASS,22475,22118,357,27749,862,4778,51,97,0.984116,0.962474,0.172186,0.973175,2.9480245829675154,2.670412480169223,1.6801097721035676,2.0046597312527092
