Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,570,528,42,1110,137,430,28,19,0.926316,0.798529,0.387387,0.857689,,,1.7738693467336684,3.0
INDEL,PASS,570,528,42,1110,137,430,28,19,0.926316,0.798529,0.387387,0.857689,,,1.7738693467336684,3.0
SNP,ALL,22580,22199,381,27527,883,4450,40,112,0.983127,0.961737,0.161659,0.972314,2.975356451328991,2.7161560264543123,1.603899850005769,1.932225063938619
SNP,PASS,22580,22199,381,27527,883,4450,40,112,0.983127,0.961737,0.161659,0.972314,2.975356451328991,2.7161560264543123,1.603899850005769,1.932225063938619
