Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,493,443,50,985,68,464,13,8,0.89858,0.869482,0.471066,0.883791,,,1.553763440860215,2.031055900621118
INDEL,PASS,493,443,50,985,68,464,13,8,0.89858,0.869482,0.471066,0.883791,,,1.553763440860215,2.031055900621118
SNP,ALL,22268,21543,725,26415,768,4106,83,88,0.967442,0.965574,0.155442,0.966507,2.971820938113073,2.785386819484241,1.2767720159558147,1.509313818665653
SNP,PASS,22268,21543,725,26415,768,4106,83,88,0.967442,0.965574,0.155442,0.966507,2.971820938113073,2.785386819484241,1.2767720159558147,1.509313818665653
