Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,570,517,53,1108,139,432,26,16,0.907018,0.794379,0.389892,0.84697,,,1.7738693467336684,3.147169811320755
INDEL,PASS,570,517,53,1108,139,432,26,16,0.907018,0.794379,0.389892,0.84697,,,1.7738693467336684,3.147169811320755
SNP,ALL,22580,22192,388,27676,895,4601,66,105,0.982817,0.961213,0.166245,0.971895,2.975356451328991,2.702193099759294,1.603899850005769,1.9571306392986958
SNP,PASS,22580,22192,388,27676,895,4601,66,105,0.982817,0.961213,0.166245,0.971895,2.975356451328991,2.702193099759294,1.603899850005769,1.9571306392986958
