Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,338,296,42,726,84,330,12,7,0.87574,0.787879,0.454545,0.829489,,,1.6774193548387097,2.907608695652174
INDEL,PASS,338,296,42,726,84,330,12,7,0.87574,0.787879,0.454545,0.829489,,,1.6774193548387097,2.907608695652174
SNP,ALL,20625,19900,725,23851,644,3321,61,62,0.964848,0.968631,0.139239,0.966736,3.029095879710994,2.870559610705596,1.4004424778761062,1.589289593743211
SNP,PASS,20625,19900,725,23851,644,3321,61,62,0.964848,0.968631,0.139239,0.966736,3.029095879710994,2.870559610705596,1.4004424778761062,1.589289593743211
