Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,1907,1555,352,2854,449,815,97,58,0.815417,0.779794,0.285564,0.797208,,,1.4675675675675677,2.343601895734597
INDEL,PASS,1907,1555,352,2854,449,815,97,58,0.815417,0.779794,0.285564,0.797208,,,1.4675675675675677,2.343601895734597
SNP,ALL,30891,29677,1214,35904,1135,5101,140,114,0.960701,0.963153,0.142073,0.961925,2.7400145243282497,2.6028688935700672,1.6764323480974257,1.8398891966759003
SNP,PASS,30891,29677,1214,35904,1135,5101,140,114,0.960701,0.963153,0.142073,0.961925,2.7400145243282497,2.6028688935700672,1.6764323480974257,1.8398891966759003
