Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,366,317,49,653,72,249,12,7,0.86612,0.821782,0.381317,0.843369,,,1.4551724137931035,2.295918367346939
INDEL,PASS,366,317,49,653,72,249,12,7,0.86612,0.821782,0.381317,0.843369,,,1.4551724137931035,2.295918367346939
SNP,ALL,20661,19639,1022,23134,630,2879,74,67,0.950535,0.968897,0.124449,0.959628,3.043044414009,2.925869380831213,1.4033046311380033,1.585840510010066
SNP,PASS,20661,19639,1022,23134,630,2879,74,67,0.950535,0.968897,0.124449,0.959628,3.043044414009,2.925869380831213,1.4033046311380033,1.585840510010066
