Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,570,504,66,894,71,312,15,10,0.884211,0.878007,0.348993,0.881098,,,1.7738693467336684,2.221014492753623
INDEL,PASS,570,504,66,894,71,312,15,10,0.884211,0.878007,0.348993,0.881098,,,1.7738693467336684,2.221014492753623
SNP,ALL,22580,21833,747,26155,756,3566,92,89,0.966918,0.966532,0.136341,0.966725,2.975356451328991,2.8038388832339685,1.603899850005769,1.8290413330447954
SNP,PASS,22580,21833,747,26155,756,3566,92,89,0.966918,0.966532,0.136341,0.966725,2.975356451328991,2.8038388832339685,1.603899850005769,1.8290413330447954
