Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,1777,1584,193,3368,539,1216,93,58,0.89139,0.749535,0.361045,0.814331,,,1.525697503671072,2.8976470588235292
INDEL,PASS,1777,1584,193,3368,539,1216,93,58,0.89139,0.749535,0.361045,0.814331,,,1.525697503671072,2.8976470588235292
SNP,ALL,30041,29207,834,35502,914,5384,125,79,0.972238,0.969653,0.151653,0.970944,2.7845088161209066,2.616167786601507,1.6014900805683099,1.776490843637502
SNP,PASS,30041,29207,834,35502,914,5384,125,79,0.972238,0.969653,0.151653,0.970944,2.7845088161209066,2.616167786601507,1.6014900805683099,1.776490843637502
